2025-11-26 05:02:35,749 [INFO] OBD Connected
2025-11-26 05:09:30,117 [CRITICAL] Device disconnected while reading
2025-11-26 05:09:31,243 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,243 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,243 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,243 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,245 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,245 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,245 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,245 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,245 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,910 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,964 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,986 [WARNING] Query failed, no connection available
2025-11-26 05:09:31,998 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,016 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,037 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,060 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,132 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,160 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,234 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,276 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,290 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,294 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,300 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,309 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,469 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,473 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,473 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,473 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,473 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,625 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,780 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,935 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:32,938 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,093 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,097 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,099 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,109 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,114 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,114 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,117 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,117 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,118 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,118 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,122 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,125 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,130 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,132 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,132 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,287 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,287 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,287 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,289 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,293 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,294 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,296 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,451 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,451 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,454 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,461 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,470 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,472 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,474 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,477 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,479 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,479 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,481 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,482 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,483 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,486 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,488 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,639 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,639 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,639 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,641 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,641 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,641 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,643 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,643 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,643 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,645 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,651 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,657 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,665 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,666 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,846 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,857 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,861 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,863 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,865 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,865 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,865 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,876 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,878 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,882 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,884 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,884 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,886 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,886 [WARNING] Query failed, no connection available
2025-11-26 05:09:33,886 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,038 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,040 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,040 [WARNING] Query failed, no connection available
2025-11-26 05:09:34,042 [WARNING] Query failed, no connection available
